,accum,min,max,closed
1,0.0,60.21,67.46,0
3,0.0,59.72,61.98,0
4,0.0,58.36,65.14,0
5,0.0,60.61,77.83,0
7,0.0,65.55,82.86,0
8,0.0,68.89,83.77,0
9,0.0,56.12,78.72,0
10,0.0,49.41,64.56,0
12,0.0,54.71,66.02,0
13,0.0,59.0,70.41,0
14,0.0,65.58,70.72,0
15,0.0,66.21,69.98,0
17,0.0,64.35,70.61,0
18,0.0,63.23,68.37,0
19,0.0,63.27,69.75,0
20,0.0,58.64,74.96,0
22,0.0,56.18,63.78,0
23,0.0,51.03,63.95,0
24,0.0,45.75,61.67,0
25,0.0,44.81,63.26,0
27,0.0,55.49,59.43,0
28,0.0,57.87,62.41,0
29,0.0,58.98,67.12,0
31,0.0,53.65,65.96,0
32,0.0,54.81,58.54,0
33,0.0,55.66,68.97,0
34,0.0,52.75,62.55,0
36,0.0,49.34,60.62,0
37,0.0,43.56,48.8,0
38,0.0,35.8,48.25,0
39,0.0,35.02,46.53,0
41,0.0,40.61,50.27,0
42,0.0,38.89,51.68,0
43,0.0,42.16,60.74,0
44,0.0,40.1,50.62,0
46,0.0,51.42,66.21,0
47,0.0,49.17,66.87,0
48,0.0,51.1,58.75,0
50,0.0,58.37,66.54,0
51,0.0,47.82,59.31,0
52,0.0,39.42,55.35,0
53,0.0,36.55,44.99,0
55,0.0,34.38,44.52,0
56,0.0,35.72,46.98,0
59,0.0,53.75,65.68,0
60,0.0,45.82,63.21,0
61,0.0,38.45,47.36,0
62,0.0,35.09,49.36,0
64,0.0,51.81,61.11,0
65,0.0,42.37,58.07,0
66,0.0,37.23,45.05,0
67,0.0,35.32,51.15,0
69,0.0,31.34,45.52,0
70,0.0,36.8,45.77,0
71,0.0,38.44,54.43,0
72,0.0,38.86,54.25,0
74,0.0,32.3,44.53,0
76,0.0,22.16,51.2,0
77,0.069,16.87,32.28,0
78,0.52,23.46,30.6,0
80,0.0,43.81,55.52,0
81,0.0,36.09,42.03,0
82,0.0,31.88,39.13,0
83,0.0,35.79,44.8,0
85,0.0,29.48,45.68,0
86,0.0,34.38,57.81,0
87,0.0,31.73,44.7,0
88,0.0,24.85,37.51,0
90,0.0,32.68,43.71,0
91,0.0,22.04,37.2,0
92,0.0,31.41,46.18,0
93,0.0,32.06,49.03,0
95,0.0,29.56,42.67,0
96,0.0,35.65,42.72,0
97,0.0,34.61,45.33,0
98,0.0,37.86,50.11,0
100,0.0,38.27,55.65,0
101,0.0,41.67,52.09,0
102,0.0,36.23,42.08,0
104,0.0,33.77,45.55,0
105,1.44,30.81,35.9,0
106,0.0,25.62,36.47,0
107,0.0,23.53,33.29,0
109,0.0,19.47,39.48,0
110,0.0,32.69,60.53,0
111,0.0,50.43,66.58,0
112,0.0,35.61,59.89,0
114,0.0,50.33,70.6,0
115,0.0,39.73,54.78,0
116,0.0,37.42,39.69,0
117,0.0,36.18,44.54,0
119,0.0,43.49,68.41,0
120,0.0,58.05,77.49,0
121,0.0,57.66,81.68,0
122,0.0,60.34,72.71,0
124,0.0,27.37,46.52,0
125,0.0,38.08,50.13,0
126,0.0,41.18,48.62,0
127,0.0,36.58,48.57,0
129,0.0,36.06,57.82,0
130,0.0,44.31,61.71,0
131,0.0,39.54,50.06,0
132,0.0,36.9,50.8,0
134,0.0,44.24,60.9,0
135,0.0,44.4,52.52,0
136,0.0,43.22,53.17,0
137,0.0,40.2,62.23,0
139,0.0,58.3,81.44,0
140,0.0,50.01,63.58,0
141,0.0,47.24,62.9,0
142,0.0,50.05,74.12,0
144,0.0,47.31,56.44,0
145,0.0,44.66,60.67,0
146,0.0,42.86,60.49,0
147,0.0,42.65,56.02,0
149,0.0,45.51,50.52,0
150,0.0,45.57,50.54,0
151,0.0,46.61,50.1,0
152,0.0,49.65,55.92,0
154,0.0,50.89,57.95,0
155,0.0,55.63,62.74,0
156,0.0,53.12,66.04,0
157,0.0,47.49,62.58,0
159,0.0,57.37,71.42,0
160,0.0,61.63,71.84,0
161,0.0,55.56,68.11,0
162,0.0,50.61,63.54,0
164,0.0,67.03,80.1,0
165,0.0,65.87,77.63,0
166,0.0,67.96,79.61,0
168,0.0,52.56,72.5,0
169,0.0,55.04,70.87,0
170,0.0,60.86,81.58,0
171,0.0,62.07,79.99,0
173,0.0,60.11,74.09,0
174,0.0,57.64,73.72,0
175,0.0,52.04,61.08,0
176,0.0,51.15,61.3,0
178,0.0,49.48,72.01,0
179,0.0,60.86,72.17,0
180,0.0,55.71,66.94,0
181,0.0,54.35,57.76,0
183,0.0,57.6,69.75,0
184,0.0,60.6,62.87,0
185,0.0,59.01,61.83,0
186,0.0,59.86,74.04,0
188,0.0,52.51,61.64,0
189,0.0,47.34,58.5,0
190,0.0,41.47,53.11,0
192,0.0,46.68,63.91,0
193,0.0,41.14,55.79,0
194,0.0,46.12,59.79,0
195,0.0,52.33,66.87,0
197,0.0,50.85,64.37,0
198,0.0,48.52,55.46,0
199,0.0,46.55,58.58,0
200,0.0,48.49,65.4,0
202,0.0,55.38,62.58,0
203,0.0,50.0,56.68,0
204,0.0,45.9,55.81,0
205,0.0,46.78,52.36,0
207,0.0,30.63,40.08,0
208,0.0,33.13,43.4,0
209,0.0,33.09,39.7,0
210,0.0,38.49,52.89,0
212,0.0,37.17,45.48,0
213,0.0,35.61,40.72,0
214,0.0,36.04,44.56,0
216,0.0,34.77,47.27,0
217,0.0,39.1,48.9,0
220,0.0,33.65,38.01,0
221,0.0,33.44,36.04,0
222,0.0,32.49,42.31,0
223,0.0,30.89,38.75,0
225,0.0,40.04,56.97,0
226,0.0,36.15,57.43,0
227,0.0,29.95,39.18,0
228,0.0,31.29,44.29,0
230,0.0,36.29,56.17,0
231,0.0,31.41,39.14,0
232,0.0,32.54,41.14,0
233,0.0,32.1,48.42,0
235,0.0,42.85,49.71,0
236,0.0,38.34,44.61,0
237,0.0,34.89,41.11,0
239,1.8630000000000002,30.73,35.74,0
240,0.0,31.39,42.53,0
241,0.0,19.33,30.45,0
243,0.0,9.55,16.73,0
244,0.0,5.28,19.72,0
245,0.054000000000000006,10.13,24.07,0
247,0.275,27.25,34.3,0
248,0.0,33.89,60.13,0
249,0.0,33.77,60.44,0
250,0.0,24.76,33.63,0
252,0.172,22.9,27.1,0
253,0.11199999999999999,26.69,39.14,0
254,0.0,19.56,28.3,0
255,3.824,20.65,32.43,1
257,0.0,36.33,44.06,0
258,0.0,31.76,41.24,0
259,0.0,32.87,40.65,0
260,0.0,31.2,48.49,0
262,0.0,28.0,42.89,0
263,0.0,26.29,31.78,0
264,0.0,26.57,36.42,0
266,0.0,31.85,40.29,0
267,0.0,38.28,40.87,0
268,0.0,34.66,43.64,0
269,0.0,35.67,40.48,0
271,0.0,32.35,41.69,0
272,0.0,36.11,38.79,0
273,1.857,31.13,36.5,0
274,4.196000000000001,29.22,41.82,1
276,0.0,41.83,54.35,0
277,0.0,40.5,51.7,0
278,0.0,25.2,39.33,0
279,0.0,21.37,40.77,0
281,4.335,29.18,36.48,1
282,0.0,26.91,38.81,0
283,0.185,30.13,33.94,0
284,0.0,30.03,39.51,0
286,0.0,34.4,47.95,0
287,0.0,35.38,51.52,0
288,0.0,38.24,45.21,0
289,0.0,39.52,53.92,0
291,0.0,32.3,40.28,0
292,0.0,31.78,46.0,0
293,0.0,32.48,55.21,0
294,0.0,39.2,54.97,0
296,0.0,46.11,69.65,0
297,0.0,44.68,52.68,0
298,0.0,43.4,48.63,0
299,0.0,37.68,42.65,0
301,0.0,40.46,61.06,0
302,0.0,49.38,62.63,0
303,0.0,45.18,60.4,0
304,0.0,52.16,71.59,0
306,0.0,40.5,42.64,0
307,0.0,42.65,65.4,0
308,0.0,49.13,62.56,0
309,0.0,45.32,51.24,0
311,0.0,47.74,60.26,0
312,0.0,47.4,58.98,0
313,0.0,47.9,67.6,0
314,0.0,44.13,52.13,0
316,0.0,49.7,70.3,0
317,0.0,54.2,63.45,0
318,0.0,55.74,61.76,0
319,0.0,56.07,67.23,0
321,0.0,43.28,57.43,0
322,0.0,44.91,63.29,0
323,0.0,53.97,80.41,0
324,0.0,54.01,66.38,0
327,0.0,62.08,81.29,0
328,0.0,59.18,67.69,0
329,0.0,51.66,68.74,0
331,0.0,58.92,74.94,0
332,0.0,69.96,93.82,0
333,0.0,70.95,85.01,0
334,0.0,61.99,73.37,0
336,0.0,45.24,58.14,0
337,0.0,50.55,73.16,0
338,0.0,54.51,69.88,0
339,0.0,56.22,69.32,0
341,0.0,46.72,65.44,0
342,0.0,51.45,61.1,0
343,0.0,55.18,60.81,0
344,0.0,57.2,62.95,0
346,0.0,53.02,72.9,0
347,0.0,59.93,79.96,0
348,0.0,60.42,76.81,0
349,0.0,59.51,64.09,0
351,0.0,54.08,65.04,0
352,0.0,50.14,58.9,0
353,0.0,49.1,59.28,0
354,0.0,52.8,64.0,0
356,0.0,52.33,60.02,0
357,0.0,54.83,70.94,0
358,0.0,55.89,68.65,0
360,0.0,49.34,67.18,0
361,0.0,45.45,52.28,0
362,0.0,42.48,53.16,0
363,0.0,39.08,49.38,0
365,0.0,35.55,46.59,0
366,0.0,39.64,52.32,0
367,0.0,41.48,63.19,0
368,0.0,60.53,69.78,0
370,0.0,32.99,47.07,0
371,0.0,42.6,59.35,0
372,0.0,45.23,66.3,0
373,0.0,36.85,48.14,0
375,0.0,26.78,36.63,0
376,0.0,30.23,50.7,0
377,0.0,39.78,60.31,0
379,0.0,33.71,50.54,0
380,0.0,29.82,41.06,0
381,0.0,30.04,47.0,0
382,0.0,42.79,46.4,0
384,0.0,32.46,41.64,0
385,0.0,40.93,61.76,0
388,0.0,35.86,47.9,0
389,0.0,34.06,44.04,0
390,0.0,36.61,54.36,0
391,0.0,37.31,55.4,0
393,0.316,27.82,36.88,0
394,0.0,24.82,31.07,0
395,0.0,18.57,26.76,0
396,0.0,18.59,30.02,0
398,3.9160000000000004,9.47,23.46,1
399,0.36,19.17,33.9,1
400,0.0,27.46,43.19,0
401,0.0,36.03,51.67,0
403,0.0,34.42,38.34,0
404,0.0,35.02,44.6,0
406,0.213,8.65,16.96,1
407,0.0,5.95,21.41,0
408,0.0,7.85,18.06,0
410,0.0,13.5,21.24,0
411,0.16,15.27,25.89,0
412,0.0,15.96,29.39,0
413,0.0,21.71,41.28,0
415,0.025,22.54,33.64,0
416,5.612,24.72,32.05,1
417,0.13699999999999998,18.73,26.62,0
418,0.0,18.44,30.19,0
420,0.0,13.31,24.59,0
421,0.0,7.71,23.94,0
422,5.257999999999999,20.34,34.98,1
